source,target,status,rule,confidence
/about,/en/about/,301,existing,high
/blog/circo-ringling-bros-barnum-bailey/,/coleccion/estados-unidos/miscelaneos/scrip-baraboo-jubileo-1933/,301,existing,high
/blog/ringling-bros-barnum-bailey-circus/,/coleccion/estados-unidos/miscelaneos/scrip-baraboo-jubileo-1933/,301,existing,high
/coleccion/,/coleccion/,200,exists,high
/coleccion/1-peso-oro-1954,/coleccion/colombia/1-peso-oro-1954/,301,last-slug,high
/coleccion/colombia/1-peso-oro-1954-banrep/,/coleccion/colombia/1-peso-oro-1954/,301,fuzzy,medium
/coleccion/colombia/10-pesos-oro-1943-anverso,/coleccion/colombia/10-pesos-oro-1943/,301,existing,high
/coleccion/colombia/10-pesos-oro-1943-reverso,/coleccion/colombia/10-pesos-oro-1943/,301,existing,high
/coleccion/colombia/2-pesos-oro-1955,/coleccion/colombia/2-pesos-oro-1944/,301,existing,high
/coleccion/colombia/banco-de-la-republica-2000-pesos-oro,/coleccion/colombia/2000-pesos-oro-1983/,301,existing,high
/coleccion/colombia/nota-v1-ya-no-en-catalogo/,/coleccion/colombia/,301,hub-fallback,low
/coleccion/ecuador/100-sucres-1993,/coleccion/ecuador/,301,existing,high
/coleccion/estados-unidos/renci,/coleccion/estados-unidos/rency/,301,existing,high
/coleccion/estados-unidos/renci/messi-you-have-to-fight-to-reach-your-dream,/coleccion/estados-unidos/rency/messi-you-have-to-fight-to-reach-your-dream/,301,existing,high
/coleccion/estados-unidos/renci/pele-the-beautiful-game,/coleccion/estados-unidos/rency/pele-the-beautiful-game/,301,existing,high
/coleccion/estados-unidos/renci/trump-never-surrender,/coleccion/estados-unidos/rency/trump-never-surrender/,301,existing,high
/coleccion/estados-unidos/renci/warhol-basquiat-life-is-beautiful,/coleccion/estados-unidos/rency/warhol-basquiat-life-is-beautiful/,301,existing,high
/coleccion/numismatica/colombia,/coleccion/colombia-numismatica/,301,existing,high
/coleccion/numismatica/paises-bajos,/coleccion/paises-bajos-numismatica/,301,existing,high
/coleccion/numismatica/paises-bajos/ducado-utrecht-1761,/coleccion/paises-bajos-numismatica/ducado-utrecht-1761/,301,existing,high
/coleccion/polimero-mundial/america-del-norte/canada,/coleccion/polimero-mundial/Canada/,301,existing,high
/coleccion/polimero-mundial/canada,/coleccion/polimero-mundial/Canada/,301,existing,high
/contact,/en/contact/,301,existing,high
