Año,1.000 pesos,2.000 pesos,2.000 pesos Z (nueva familia),5.000 pesos,5.000 pesos Y (nueva familia),10.000 pesos,10.000 pesos V (nueva familia),20.000 pesos,20.000 pesos T (nueva familia),50.000 pesos,50.000 pesos S (nueva familia),100.000 pesos
2010,246.7,207.8,,98.149,,148.9,,177.8,,150.4,,
2011,196.1,213.5,,117,,145.3,,115.7,,220.5,,
2012,262.30766,266.6,,101.9,,143.4,,101.2,,176.7,,
2013,0,294.8,,161.4,,165.4,,87.6,,207.9,,
2014,0,292.9,,161.3,,180.4,,156.4,,273.6,,
2015,148,351.5,,115.5,,109.6,,108.2,,250.4,,
2016,47,207.36999,44.13001,67.9,29,141.70006,37.99994,42.82702,131.57298,143.414,115.786,44.24
2017,98.883,93.088,197.612,71.58,50.32,65.791,56.309,9.31,112.89,2.552,247.948,0
2018,0,0,327.1,44.79546,68.70454,1.183,122.417,0,142.4,0,392,0
2019,,,331.4,,145.8,,133.7,,105.3,,462.5,32.2
2020,,,258.1,,124.6,,151.4,,186.4,,517.1,12.5
2021,,,316.7,,128.5,,67.1,,188.9,,436.4,199.7
2022,,,251.4,,18.3,,66.9,,123.9,,263.7,140.7
