AÑO,1 PESO,2 PESOS,5 PESOS,10 PESOS,20 PESOS,20 PESOS (NUEVA FAMILIA),50 PESOS,50 PESOS (NUEVA FAMILIA) NACIONAL,50 PESOS (NUEVA FAMILIA) IMPORTADA,100 PESOS,100 PESOS (NUEVA FAMILIA) NACIONAL,100 PESOS (NUEVA FAMILIA) IMPORTADA,200 PESOS,200 PESOS (NUEVA FAMILIA) NACIONAL,200 PESOS ((NUEVA FAMILIA) IMPORTADA,500 PESOS,500 PESOS (NUEVA FAMILIA) NACIONAL,500 PESOS ((NUEVA FAMILIA) IMPORTADA,1.000 PESOS,1.000 PESOS (NUEVA FAMILIA) NACIONAL,1.000 PESOS (NUEVA FAMILIA) IMPORTADA,5.000 PESOS,10.000 PESOS,20.000 PESOS
1987,n. p.,13832500,20214040,,70000000,n. p.,40042000,n. p.,n. p.,n. p.,n. p.,n. p.,n. p.,n. p.,n. p.,n. p.,n. p.,n. p.,n. p.,n. p.,n. p.,n. p.,n. p.,n. p.
1988,n. p.,16218225,45003894,50704091,72002490,n. p.,100002000,n. p.,n. p.,n. p.,n. p.,n. p.,n. p.,n. p.,n. p.,n. p.,n. p.,n. p.,n. p.,n. p.,n. p.,n. p.,n. p.,n. p.
1989,138,n. p.,106825973,184206150,90062949,n. p.,80696450,n. p.,n. p.,n. p.,n. p.,n. p.,n. p.,n. p.,n. p.,n. p.,n. p.,n. p.,n. p.,n. p.,n. p.,n. p.,n. p.,n. p.
1990,n. p.,n. p.,100700000,91300000,130000000,n. p.,120000000,n. p.,n. p.,n. p.,n. p.,n. p.,n. p.,n. p.,n. p.,n. p.,n. p.,n. p.,n. p.,n. p.,n. p.,n. p.,n. p.,n. p.
1991,n. p.,n. p.,60000000,60000000,167432500,n. p.,150000000,n. p.,n. p.,n. p.,n. p.,n. p.,n. p.,n. p.,n. p.,n. p.,n. p.,n. p.,n. p.,n. p.,n. p.,n. p.,n. p.,n. p.
1992,n. p.,n. p.,20000000,47256100,132600000,n. p.,50000000,n. p.,n. p.,50000000,n. p.,n. p.,n. p.,n. p.,n. p.,n. p.,n. p.,n. p.,n. p.,n. p.,n. p.,n. p.,n. p.,n. p.
1993,n. p.,n. p.,40000000,15000000,19312500,n. p.,35000000,n. p.,n. p.,180500000,n. p.,n. p.,n. p.,n. p.,n. p.,15642000,n. p.,n. p.,n. p.,n. p.,n. p.,n. p.,n. p.,n. p.
1994,n. p.,n. p.,n. p.,20000000,95000000,n. p.,155000000,n. p.,n. p.,255000000,n. p.,n. p.,115000000,n. p.,n. p.,90000000,n. p.,n. p.,n. p.,n. p.,n. p.,n. p.,n. p.,n. p.
1995,n. p.,n. p.,n. p.,n. p.,n. p.,n. p.,n. p.,n. p.,n. p.,180000000,n. p.,n. p.,150000000,n. p.,n. p.,90000000,n. p.,n. p.,n. p.,n. p.,n. p.,n. p.,n. p.,n. p.
1996,n. p.,n. p.,n. p.,n. p.,n. p.,n. p.,n. p.,n. p.,n. p.,n. p.,n. p.,n. p.,80000000,n. p.,n. p.,55000000,n. p.,n. p.,60000000,n. p.,n. p.,n. p.,n. p.,n. p.
