AÑO,1 peso,2 pesos,5 pesos,10 pesos,20 pesos,50 pesos,100 pesos,200 pesos,500 pesos,1.000 pesos,2.000 pesos,5.000 pesos,10.000 pesos,20.000 pesos,50.000 pesos,100.000 pesos,TOTAL PRODUCCIÓN
1960,82.6,,,,,,,,,,,,,,,,82.6
1961,57.4,,,,,,,,,,,,,,,,57.4
1962,53.5,,40,,,,,,,,,,,,,,93.5
1963,65.55,,40,10,,,,,,,,,,,,,115.55
1964,91,,20,30,,,,,,,,,,,,,141
1965,94.55,,15.45,50,,,,,,,,,,,,,160
1966,64.65,,34.55,,16,,,,,,,,,,,,115.2
1967,88,,5.75,8.25,34,,,,,,,,,,,,136
1968,102.75,,40.5,16.75,,,,,,,,,,,,,160
1969,77.5,,28.75,25,25,,,,,,,,,,,,156.25
1970,106.15,,,43.85,25,,,,,,,,,,,,175
1971,116.35,,50,19.55,,,,,,,,,,,,,185.9
1972,184.5,,,11.5,25,,,,,,,,,,,,221
1973,68.3,,50,44.15,8.65,,,,,,,,,,,,171.1
1974,47.2,,33.6,55.85,66.35,,,,,,,,,,,,203
1975,50,,100,100,,,,,,,,,,,,,250
1976,,31.1,66.4,7.5,100,,,,,,,,,,,,205
1977,0.2,118.9,50,42.5,30.4,,,,,,,,,,,,242
1978,,,40.5,121.75,19.6,,,,,,,,,,,,181.85
1979,,,109.5,58.75,86.5,,,,,,,,,,,,254.75
1980,,,49.5,65.45,13.5,17.85,,,,,,,,,,,146.3
1981,,,1.2,50,79.1,74,,,,,,,,,,,204.3
1982,,,,51.5,94.4,53.7,,10.5,,,,,,,,,210.1
1983,,,,,60.5,154.5,5,90,,,,,,,,,310
1984,,,,,0.5,,69,148.5,,,,,,,,,218
1985,,,,,,149.75,122.25,28,,,,,,,,,300
1986,,,,,,101.25,102.75,136,,,,,,,,,340
1987,,,,,,1.5,194,86,,,,,,,,,281.5
1988,,,,,,,106,75,100,50,,,,,,,331
1989,,,,,,,72.5,122,25,,130.5,,,,,,350
1990,,,,,,,74,146.5,72,90.5,15,32,,,,,430
1991,,,,,,,128,87,94,52.9,96.1,62,,,,,520
1992,,,,,,,85.65,29,58.2,140.9,149.35,96.9,,,,,560
1993,,,,,,,,80,94.6,130.9,95.25,120.25,69,,,,590
1994,,,,,,,,,,121.7,122.7,123.95,123.05,,,,491.4
1995,,,,,,,,,,291,0.5,176,32.5,,,,500
1996,,,,,,,,,,19.1,154.15,68.3,100.45,48,,,390
1997,,,,,,,,,,,170.45,96.7,103.5,47.1,,,417.75
1998,,,,,,,,,,,87.85,196.95,179.15,66.05,,,530
1999,,,,,,,,,,,140,40.4,214.2,176.75,,,571.35
2000,,,,,,,,,,,175,62.5,50.65,149,40,,477.15
2001,,,,,,,,,,,173,141,88,102.6,57.5,,562.1
2002,,,,,,,,,,195,149,33,107,116,20,,620
2003,,,,,,,,,,115,158,95.4,185,192,29.9,,775.3
2004,,,,,,,,,,180.3,186.1,119.1,63.4,188.1,109,,846
2005,,,,,,,,,,216.7,145.3,17.4,33.9,147.5,,,560.8
2006,,,,,,,,,,253.9,183.2,69.9,95,200.9,84.9,,887.8
2007,,,,,,,,,,263.6,182.7,91.7,135,161.8,107.9,,942.7
2008,,,,,,,,,,280.4,219.2,115,145.6,144.4,171,,1075.6
2009,,,,,,,,,,209.2,235.4,115.4,105.5,205.6,192.8,,1063.9
2010,,,,,,,,,,246.7,207.8,98.149,148.9,177.8,150.4,,1029.749
2011,,,,,,,,,,196.1,213.5,117,145.3,115.7,220.5,,1008.1
2012,,,,,,,,,,262.30766,266.6,101.9,143.4,101.2,176.7,,1052.10766
2013,,,,,,,,,,,294.8,161.4,165.4,87.6,207.9,,917.1
2014,,,,,,,,,,,292.9,161.3,180.4,156.4,273.6,,1064.6
2015,,,,,,,,,,148,351.5,115.5,109.6,108.2,250.4,,1083.2
2016,,,,,,,,,,47,251.5,96.9,179.7,174.4,259.2,44.24,1052.94
2017,,,,,,,,,,98.883,290.7,121.9,122.1,122.2,250.5,,1006.283
2018,,,,,,,,,,,327.1,113.5,123.6,142.4,392,,1098.6
2019,,,,,,,,,,,331.4,145.8,133.7,105.3,462.5,32.2,1210.9
2020,,,,,,,,,,,258.1,124.6,151.4,186.4,517.1,12.5,1250.1
2021,,,,,,,,,,,316.7,128.5,67.1,188.9,436.4,199.7,1337.3
2022,,,,,,,,,,,251.4,18.3,66.9,123.9,263.7,140.7,864.9
TOTAL,1350.2,150,775.7,812.35,684.5,552.55,959.15,1038.5,443.8,3610.09066,6622.75,3378.599,3568.4,3736.2,4673.9,429.34,32786.02966
